BirdID,Sex,Tarsus,Wing
TA14502,female,18.43333333,71.56666667
TA14505,female,18.1,76.5
TA14506,female,18.45,75.0
TA14507,female,18.15,75.0
TA14509,male,18.2,78.25
TA14513,female,17.36666667,74.4
TA14516,male,18.9,84.0
TA14518,male,19.16666667,81.83333333
TA14522,female,18.45,76.9
TA14525,female,19.2,78.0
TA14528,male,16.96666667,78.33333333
TA14529,male,20.23333333,83.0
TA14530,female,19.05,77.5
TA14531,male,20.125,79.825
TA14532,female,20.55,78.125
TA14541,male,17.75,80.5
TA14548,female,18.825,73.5
TA14549,female,18.2,75.33333333
TA14553,male,18.66666667,79.33333333
TA14554,female,19.15,75.75
TA14561,female,18.5,76.76666667
TA14565,female,18.65,75.2
TA14571,male,19.1,81.85
TA14573,male,19.125,82.75
TA14574,male,18.4,81.1
TA14581,male,18.2,78.5
TA14586,female,18.5,78.325
TA14598,male,18.5,78.33333333
TA14599,male,19.4,78.85
TA14600,female,18.5,76.33333333
TA14601,female,19.25,77.925
TA14604,female,19.26666667,78.66666667
TA14606,female,17.325,75.375
TA14607,female,18.45,77.5
TA14608,female,18.4,74.5
TA14610,female,17.7,75.25
TA14612,male,19.05,80.5
TA14630,male,18.4,78.0
TA14638,female,19.76666667,80.5
TA14644,male,19.86666667,79.0
TA14645,female,19.075,76.125
TA14647,male,19.4,80.16666667
TA14649,male,17.2,78.0
TA14651,male,17.45,75.15
TB09016,female,17.0,76.33333333
TB09019,female,18.4,78.15
TB09027,male,17.7,76.33333333
TB09036,female,17.76666667,76.06666667
TB09046,male,19.9,81.66666667
TB09047,female,18.63333333,76.9
TB09054,male,19.0,78.5
TB09055,male,18.9,77.0
TB09062,male,19.3,79.0
TB09067,female,18.5,77.66666667
TB09068,female,18.46666667,76.56666667
TB09069,female,17.4,77.5
TB09070,female,19.83333333,77.66666667
TB09072,female,18.15,78.33333333
TB09077,female,17.8,73.66666667
TB09084,female,18.53333333,76.5
TB09089,female,18.8,76.9
TB09091,male,18.83333333,79.5
TB09092,female,19.26666667,77.66666667
TB09097,female,17.7,76.0
TB09099,female,17.85,77.15
TB09102,female,17.86666667,74.66666667
TB09105,male,18.9,81.0
TB09110,male,20.15,81.15
TB09112,female,18.5,78.0
TB09115,male,18.3,79.0
TB09118,female,18.53333333,77.66666667
TB09119,male,19.45,80.75
TB09121,female,18.2,73.75
TB09125,female,18.5,74.0
TB09131,female,17.95,74.9
TB09133,female,18.7,76.25
TB09147,female,19.1,77.16666667
TB09153,female,19.9,77.33333333
TB09166,female,18.35,76.65
TB09168,male,19.1,79.5
TB09171,female,18.9,78.0
TB09173,male,18.7,79.66666667
TB09174,female,18.9,78.35
TB09178,male,18.86666667,79.5
TB09182,female,19.8,79.0
TB09183,male,19.05,79.25
TB09184,female,19.65,76.15
TB09185,female,18.23333333,75.23333333
TB09188,male,19.26666667,76.4
TB09199,male,18.86666667,80.83333333
TB09206,female,18.05,79.75
TB09207,female,18.63333333,77.9
TB09208,male,17.15,78.5
TB09209,male,19.3,78.5
TB09226,female,19.05,77.25
TB09229,male,18.96666667,79.0
TB09230,female,18.95,76.0
TB09232,female,18.55,76.0
TB09233,female,17.7,76.0
TB09234,female,18.8,77.33333333
TB09236,male,19.85,79.25
TB09243,female,18.86666667,76.5
TB09257,male,18.95,80.5
TB09258,female,19.75,78.75
TB09259,male,17.55,78.5
TB09270,male,18.4,78.0
TB09284,female,18.1,77.75
TB09291,male,19.6,78.5
TB09297,female,17.9,78.5
TB09299,male,19.0,81.0
TC19529,female,17.25,76.5
TC19533,female,18.45,77.5
TC19562,female,18.3,76.75
TC19569,female,19.45,79.0
TC19577,female,18.9,75.0
TC19587,female,18.45,76.5
TC19603,male,19.15,79.5
TC19609,male,19.75,79.5
TC19617,male,18.15,79.5
TC19647,female,18.5,77.5
TC19663,male,19.65,78.5
TC19664,female,18.8,75.0
TC19674,male,18.75,80.5
TC19676,male,18.95,77.5
TC19685,male,19.5,80.5
TC19695,male,18.2,75.5
TC19696,female,18.2,76.0
VS06799,male,18.375,78.75
VS50136,male,19.33333333,77.76666667
VS50139,male,18.25,78.5
VS50140,male,16.9,77.25
VS50141,female,19.8,78.425
VS50188,female,17.85,74.25
VV78215,male,19.55,78.875
VV78261,male,19.16666667,79.56666667
VX04201,male,17.725,77.05
VX04207,male,18.35,77.5
VX04208,male,18.15,76.1
VX04211,male,18.6,79.0
VX04222,female,18.85,75.5
VX04226,female,19.16666667,75.66666667
VX04228,female,18.26666667,77.0
VX04229,male,18.23333333,78.0
VX04252,female,19.15,77.75
VX04279,male,19.9,80.0
VX04284,male,18.15,80.5
VX04286,male,18.15,79.0
VX04291,female,18.775,78.0
VX04299,male,17.63333333,77.0
VX04306,male,18.8,80.0
VX04311,female,17.8,74.5
VX04325,male,18.46666667,80.66666667
VX04326,male,17.55,78.125
VX04336,male,16.9,77.0
VX04353,male,18.05,77.0
VX04363,female,19.575,77.5
VX04365,male,18.65,79.575
VX04369,female,19.1,77.075
VX04378,male,19.425,80.75
VX04391,male,18.65,80.5
VX04406,male,18.675,81.25
VX04422,male,18.0,81.0
VX04447,male,19.4,81.33333333
VX04453,female,18.2,75.25
VX04465,male,19.5,80.0
VX04467,female,17.55,74.5
VX04471,female,17.05,75.5
VX04473,female,17.475,76.5
VX04486,male,18.85,79.325
VX04489,male,17.16666667,77.66666667
VX04500,female,17.55,75.5
